"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.54570860240781e-103,1.01408078051047,0.448,0.317,5.65744805567281e-99,"0","EIF2S3"
1.01392502556756e-102,1.24602723217595,0.269,0.143,3.71106698607984e-98,"0","EBLN3P"
2.74193498578417e-102,1.22177458097338,0.304,0.176,1.00357562414687e-97,"0","HSH2D"
1.2018585219877e-101,0.498094813932036,0.784,0.735,4.39892237632718e-97,"0","HNRNPA1"
1.2215504448177e-101,0.890311925026527,0.376,0.232,4.47099678307727e-97,"0","ATP2A3"
3.33880821572308e-101,0.739690811801334,0.277,0.146,1.2220371950368e-96,"0","SIPA1L3"
3.65346683884753e-100,0.696156820638255,0.586,0.459,1.33720539768659e-95,"0","HMGN1"
5.30085353993629e-100,0.691477447434902,0.415,0.256,1.94016540415208e-95,"0","GPR183"
2.72773599047036e-99,1.73327701478351,0.286,0.171,9.98378649872055e-95,"0","PLPP5"
6.09760113258177e-98,0.305221127489841,0.966,0.915,2.23178299053626e-93,"0","TPT1"
7.68476802100679e-98,0.843405098306749,0.517,0.392,2.81270194336869e-93,"0","TAF1D"
4.3436102056133e-94,1.29651274675018,0.291,0.17,1.58980477135652e-89,"0","IL4R"
4.76157289716771e-94,0.530461494243594,0.328,0.187,1.74278329609235e-89,"0","MTSS1"
1.25898815657921e-92,0.608918929076316,0.32,0.189,4.60802255189558e-88,"0","CDK14"
3.14682119673177e-91,1.26660185399429,0.273,0.158,1.1517680262158e-86,"0","NCF4"
2.64822531869493e-90,1.03607936086364,0.339,0.209,9.6927694889553e-86,"0","BIN1"
1.97966058326659e-89,0.266349918690095,0.953,0.932,7.24575570081403e-85,"0","MT-ND4"
2.99025523875378e-89,1.18571420465176,0.36,0.234,1.09446331993627e-84,"0","TSTD1"
2.35687502626404e-88,0.560906209270478,0.566,0.421,8.626398283629e-84,"0","PDE4B"
3.22579509482943e-88,0.811080316585653,0.385,0.25,1.18067326265852e-83,"0","CTSH"
3.36514837610362e-88,0.53709866263999,0.724,0.585,1.23167795713769e-83,"0","FXYD5"
7.7253555587981e-88,0.846013006877733,0.397,0.264,2.82755738807569e-83,"0","RB1"
1.14293944962308e-87,0.286955658230244,0.982,0.967,4.18327267956544e-83,"0","MT-ND1"
1.2126439903862e-85,1.06089086252716,0.294,0.173,4.43839826921254e-81,"0","WASHC4"
1.62326913820701e-85,0.859587242018289,0.369,0.241,5.94132737275149e-81,"0","SH3BP5"
